의약품코드,제품명,제조사,효능,복용법,주의사항,보관법,
200402560,다우제큐정,미래제약(주),이 약은 소화불량/ 식욕감퇴(식욕부진)/ 과식/ 체함/ 소화촉진/ 소화불량으로 인한 위부팽만감에 사용합니다.,성인 및 15세 이상은 1회 2정/ 만 11세 이상~만 15세 미만은 1회 11/3정/ 만 8세 이상~만 11세 미만은 1회 1정을 1일 3회 식후에 복용합니다.복용간격은 4시간 이상으로 합니다.,만 7세 이하의 어린이/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성/ 알레르기 체질인 사람/ 황색4호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도?복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200904507,다이락스-큐정,조아제약(주),이 약은 변비와 변비에 수반하는 식욕부진(식욕감퇴)/ 복부(배부분)팽만/ 장내이상발효/ 치질의 완화에 사용합니다.,만 15세 이상은 1회 2정씩/ 만 11세 이상~만 15세 미만은 1회 11/3정씩/ 만 8세 이상~만 11세 미만은 1회 1정씩 1일 1회 취침시 복용합니다.다만/ 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.,만 7세 이하의 어린이/?급성 복부질환(충수염/ 장출혈/ 궤양성 결장염 등)/ 장폐색(창자막힘)/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성/ 만 10세 이하의 어린이/?심한 복통(배 아픔) 또는 구역/ 구토 환자/?직장의 출혈 혹은 장부전 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.1주 정도 복용하여도 변비의 개선이 없을 경우 복용을 중지하고 의사 또는 약사와 상의하십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.복용 시 정제를 씹지 마십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199102092,다이야펜정400밀리그램(이부프로펜),미래제약(주),이 약은 류마티양 관절염/ 연소성 류마티양 관절염/ 골관절염(퇴행성 관절질환)/ 감기로 인한 발열 및 동통/ 요통/ 월경곤란증/ 수술후 동통과 강직성 척추염/ 두통/ 치통/ 근육통/ 신경통/ 급성통풍/ 건선성 관절염/ 연조직손상(염좌/ 좌상)/ 비관절 류마티스질환(건염/ 건초염/ 활액낭염)에 사용합니다.,류마티양 관절염/ 골관절염/ 강직성 척추염/ 연조직손상/ 비관절 류마티스질환/ 급성통풍/ 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg)/ 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다.?연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며/ 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg)/ 1일 3~4회 복용합니다.11~14세는 1회 200~250 mg/ 7~10세는 1회 150~-200 mg/ 3~6세는 1회 100~150 mg/ 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여합니다.체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직합니다.권장용량을 초과하여 복용하지 마십시오.,이 약에 과민증 환자/ 위장관궤양/ 위장관 출혈 또는 경험자/ 심한 혈액이상/ 심한 간장애/ 심한 신장장애/ 심한 심장기능부전/ 심한 고혈압/ 기관지천식 또는 경험자/ 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 천식/ 두드러기/ 알레르기 반응과 같은 과민 증 또는 경험자/ 관상동맥(심장동맥) 우회로술 전후 통증발생 환자/ 임신 말기 3개월 기간에 해당하는 임부/ 항암요법으로 고용량 메토트렉세이트를 복용중인 환자/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 혈액이상 또는 경험자/ 출혈경향이 있는 환자/ 간경화/ 간장애 또는 경험자/ 신장장애 또는 경험자/ 심장기능부전 또는 심질환/ 고혈압/ 전신성홍반성루푸스 및 혼합 결합조직질환 환자/ 궤양성대장염/ 크론병/ 고령자 및 소아/ 임부/ 수유부/ 황색5호 과민증 환자는 의사 또는 약사와 상의하십시오.,어린이의 손이 닿지 않는 곳에 보관하십시오.,
200400785,다이오친에프정,삼아제약(주),이 약은 두드러기/ 습진/ 가려움에 사용합니다.,성인 및 15세 이상은 1회 2정/ 8~14세는 1회 1정을 1일 3회 4시간 이상의 간격으로 복용합니다.,이 약에 과민증 환자/ 만?3개월 미만의 영아/ MAO 억제제(항우울제/?항정신병제/?감정조절제/?항파킨슨제?등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은?이 약을 복용하지 마십시오.이 약을 복용하기 전에?만 2세 미만의 영ㆍ유아/ 고령자/ 몸이 약한 사람/ 알레르기 체질/?고혈압/ 심장질환/ 신장질환/ 부종/ 녹내장(눈의 통증/ 눈이 침침함 등)/ 배뇨장애/ 고열/?흡연/ 천식/ 만성 기관지염/ 폐기종/ 과도한 가래가 동반되는 기침/ 1주 이상 지속 또는 재발되는 기침/ 만성 기침/ 발열·발진이나 지속적인 두통이 동반되는 기침 환자/ 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200905402,다이제스칸정,크리스탈생명과학(주),이 약은 소화불량/ 식욕감퇴(식욕부진)/ 과식/ 체함/ 소화촉진/ 소화불량으로 인한 위부(상복부)팽만감에 사용합니다.,만 15세 이상 및 성인은 1회 2정 1일 3회 식후에 복용합니다.,만 7세 이하의 어린이/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 황색4호에 과민증 환자 또는 경험자/ 알레르기 체질인 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우?복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200902108,다이제스토정,화일약품(주),이 약은 소화불량/ 식욕감퇴(식욕부진)/ 과식/ 체함/ 소화촉진/ 소화불량으로 인한 위부(상복부)팽만감에 사용합니다.,만 15세 이상 및 성인은 1회 2정 1일 3회 식후에 복용합니다.,만 7세 이하의 어린이/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 황색4호에 과민증 환자 또는 경험자/ 알레르기 체질인 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우?복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200200852,다이제스트정,(주)마더스제약,이 약은 소화불량/ 식욕감퇴(식욕부진)/ 과식/ 체함/ 소화촉진/ 소화불량으로 인한 위부팽만감에 사용합니다.,만 15세 이상 및 성인은 1회 2정 1일 3회 식후에 복용합니다.,만 7세 이하의 어린이/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 알레르기 체질인 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200904689,다이제틴정,알리코제약(주),이 약은 소화불량/ 식욕감퇴(식욕부진)/ 과식/ 체함/ 소화촉진/ 소화불량으로 인한 위부팽만감에 사용합니다.,성인은 1회 1~2정 1일 3회 식후에 복용합니다.,이 약에 과민증 환자/ 황색4호(타르트라진)에 과민증 환자/ 만 7세 이하의 영.유아에게는 투여하지 않습니다.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200300583,다이톱현탁액(디옥타헤드랄스멕타이트),삼아제약(주),이 약은 성인의 식도/ 위·십이지장과 관련된 통증의 완화/ 성인의 급·만성 설사/ 24개월 이상 소아의 급성 설사에 사용합니다.,성인은 1회 3 g을 1일 3회 복용합니다.급성설사시의 초기 3일은 1일 용량을 2배로 증량할 수 있습니다.식도염에는 식후에/ 다른 적응증에는 식간에 복용합니다.24개월 이상의 소아는 3일 동안 1일 6~9 g을 3회 분할 복용하고 이후 4일 동안 1일 6 g을 3회 분할 복용합니다.,24개월 미만 소아/?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 이 약에 과민증 환자/ 심한 만성 변비 환자/ 장폐색(창자막힘) 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.탈수증이 나타나는 경우에는 적절한 수액공급을 하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198902158,다이투스정(암브록솔염산염),구주제약(주),이 약은 점액분비장애로 인한 급·만성기관지염/ 천식성기관지염에 사용합니다.,성인은 1회 1정(30 mg)씩 1일 3회 식사와 관계없이 복용합니다.계속 치료시 1회 1정(30 mg)씩 1일 2회 복용합니다.,이 약에 과민증 환자/?심한 신장애/?심한 간장애/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?신장애/?소화성궤양/ 임부/ 수유부/ 고령자는?의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198902527,다제스캡슐,한림제약(주),이 약은 소화불량/ 식욕감퇴(식욕부진)/ 과식/ 식체(위체)/ 소화촉진/ 소화불량으로 인한 위부팽만감과 담즙(쓸개즙) 분비 부전으로 오는 간질환/ 담도(쓸개길)(담관(쓸개관)/ 담낭(쓸개))계 질환의 보조치료로 사용합니다.,성인은 1회 1~2캡슐을 1일 3회 식후에 복용합니다.,이 약에 과민증 환자/?급성간염/ 심한 담도 폐쇄/ 방사선비투과성 석회화된 담석/ 비기능성 담낭(쓸개)/ 급성 담낭(쓸개)염/?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/ 소아/ 신질환/?소화성궤양/ 크론병과 같은 대장 및 소장염/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 알레르기 체질인 환자/?심한 췌장(이자) 질환/?담석/ 정맥류 출혈/ 간성혼수/ 복수(뱃물)/ 간이식이 필요한 환자/ 황색5호에 과민증 환자 또는 경험자/ 고령자는?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201506617,다케다알보칠콘센트레이트액(폴리크레줄렌),한국다케다제약(주),이 약은 질 세균 감염/ 구내염 및 치육염(잇몸염)에 사용합니다.,질 세균 감염에 사용 시 용액을 적신 거즈를 질 안에 넣고 가벼운 압력으로 해당부위를 1~3분간 누릅니다. 3~4일 간격으로 두 번 사용하십시오.구내염 및 치육염에 사용 시 이 약을 적신 면봉 등을 이용해 여러번 반복하여 발라줍니다.,이 약에 과민증 환자는 이 약을 사용하지 마십시오.이 약을 사용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는?의사 또는 약사와 상의하십시오.이 약은 콘돔/ 질내 피임용 격막과 같은 라텍스 또는 고무제품을 약화시킬 수 있으므로 주의하십시오.월경 중에 사용하지 마십시오.치료기간 중 성교를 하거나 자극적인 비누로 세척하지 마십시오.이 약의 사용을 잊은 경우에는 용량을 보충하지 않고 그대로 다음 용량을 적용하십시오.국소적으로만 사용하십시오.눈에 들어가지 않도록 주의하고/ 만일 눈에 들어갔을 경우 즉시 깨끗한 물로 씻어 내십시오.구강점막이나 잇몸에 적용한 후에는 철저하게 입안을 헹구십시오.,빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.이 약의 적용 시 쓰이는 기구 등은 사용한 직후 소독할 때까지 물(경우에 따라 1~2 % 탄산수소나트륨을 첨가)을 담은 용기에 보관하십시오.,
201500673,다펜-큐연질캡슐(이부프로펜),조아제약(주),이 약은 감기로 인한 발열 및 동통(통증)/ 요(허리)통/ 생리통/ 류마티양 관절염/ 연소성(어리거나 젊은 나이에 나타나는) 류마티양 관절염/ 골(뼈)관절염(퇴행성 관절질환)/ 수술후 동통(통증)과 두통/ 편두통/ 치통/ 근육통/ 신경통/ 강직성 척추염/ 급성통풍/ 건선(마른비늘증)성 관절염/ 연조직손상(염좌(삠)/ 좌상(타박상))/ 비관절 류마티스질환(건염(힘줄염)/ 건초염(힘줄윤활막염)/ 활액(윤활)낭염)에 사용합니다.,류마티양 관절염/ 골관절염/ 강직성 척추염/ 연조직손상/ 비관절 류마티스질환/ 급성통풍/ 건선성 관절염에 성인은 1회 1/2 캡슐~1.5캡슐(200~600 mg)/ 1일 3~4회 복용하며 1일 최고 8캡슐(3200 mg)까지 복용할 수 있습니다.?연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며/ 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2캡슐~1캡슐(200~400 mg)/ 1일 3~4회 복용합니다.편두통에 성인은 1회 1/2~1캡슐(200~400 mg)을 복용하고 24시간 동안 1캡슐(400 mg)을 초과하지 않도록 합니다.권장용량을 초과하여 복용하지 마십시오.연령/ 증상에 따라 적절히 증감하십시오.,이 약에 과민증 환자/ 위장관궤양/ 위장관 출혈 또는 경험자/ 심한 혈액이상/ 심한 간장애/ 심한 신장장애/ 심한 심장기능부전/ 심한 고혈압/ 기관지천식 또는 경험자/ 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 천식/ 두드러기/ 알레르기 반응과 같은 과민 증 또는 경험자/ 관상동맥(심장동맥) 우회로술 전후 통증발생 환자/ 임신 말기 3개월 기간에 해당하는 임부/ 항암요법으로 고용량 메토트렉세이트를 복용중인 환자는?이 약을 복용하지 마십시오.이 약을 복용하기 전에 혈액이상 또는 경험자/ 출혈경향이 있는 환자/ 간경화/ 간장애 또는 경험자/ 신장장애 또는 경험자/ 심장기능부전 또는 심질환/ 고혈압/ 전신성홍반성루푸스 및 혼합 결합조직질환 환자/ 궤양성대장염/ 크론병/ 고령자 및 소아/ 임부/ 수유부는 의사 또는 약사와 상의하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201005795,닥스펜시럽(덱시부프로펜),(주)바이넥스,이 약은 급성 상기도감염으로 인한 발열 시 해열에 사용합니다.,생후 6개월 이상의 소아는 1회 0.4~0.6 mL/kg(5~7 mg/kg)/ 4~6시간 간격으로 필요시에 복용하며/ 1일 최대 4회(28 mg/kg)를 넘지 않습니다.체중이 30 kg 이하인 소아에게는 1일 최대 25 mL(300 mg)을 초과하지 않습니다.몸무게를 알?경우?몸무게에 따른 용량으로 복용하는 것이 더 적절하므로 연령대별 권장용량은 허가사항을 참고하십시오.?,이 약에 과민증 환자/ 소화성궤양/ 심한 혈액이상/ 심한 간장애/ 심한 신장애/ 심한 심부전/ 심한 고혈압/ 기관지천식/ 아스피린 또는 다른 소염진통제에 의한 천식/ 두드러기/ 알레르기 경험 환자/ 심장동맥 우회로술 전후 통증 치료 환자/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 이 약을 복용하지 마십시오.혈액이상/ 출혈경향/ 간장애/ 신장애/ 심부전/ 고혈압/ 전신성홍반성루푸스/ 혼합결합조직질환/ 궤양성대장염/ 노인/ 크론병/ 소아/ 위암 그리고 심근경색이나 뇌졸중 예방목적으로 저용량 아스피린을 복용하는 사람은 의사 또는 약사와 상의하십시오.장기 복용할 경우?원칙적으로 5일 이내로 합니다.,빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200000930,닥스펜정(덱시부프로펜),(주)바이넥스,이 약은 만성 다발성관절염/ 류마티스관절염/ 관절증/ 강직척추염/ 외상 및 수술 후 통증성 부종 또는 염증 그리고?염증/ 통증 및 발열을 수반하는 감염증의 치료보조에 사용합니다.,성인은 1회 1정(300 mg)/?1일 2~4회 복용합니다. 단/ 1일 4정(1/200 mg)을 초과하지 않습니다.,이 약에 과민증 환자/ 위장관궤양/ 위장관이나?뇌혈관 또는 다른 부위의 출혈이 있는 환자/ 심한 혈액이상/ 심한 간장애/ 심한 신장애/ 심한 심부전/ 심한 고혈압/ 기관지천식/ 아스피린 또는 다른 소염진통제에 의한 천식/ 두드러기/ 알레르기 경험 환자/ 심장동맥 우회로술 전후 통증 치료 환자/ 임신 6개월 이상의 임부/ 수유부/ 크론병/ 궤양성대장염/ 비스테로이드성 소염진통제로 인해?위장관출혈 또는 천공이 발생한 병력이 있는 환자/ 갈락토오스불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 혈액이상/ 출혈경향/ 간장애/ 신장애/ 체액저류/ 심부전/ 고혈압/ 전신홍반루푸스/ 혼합결합조직질환/ 노인/ 6세 미만의 어린이/ 위암/ 알코올중독/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/ 허혈심장병/ 말초동맥질환/ 뇌혈관질환/ 심혈관질환의 위험인자가 있는 환자/ 간성 포르피린증/ 혈액부족을 초래한 중대한 외과수술을 받은 환자는 의사 또는 약사와 상의하십시오.이 약 복용 후 어지러움 또는 피로가 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.급성질환에 장기 복용할 경우?원칙적으로 5일 이내로 합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200511327,단아팬에프카타플라스마(인도메타신),(주)오현파마코푸레이션 ,이 약은 퇴행성관절염(골관절염)/ 어깨관절주위염/ 건염(힘줄염)ㆍ건초염(힘줄윤활막염)/ 건(힘줄)주위염/ 상완골(위팔뼈)상과염(테니스 엘보우 등)/ 근육통/ 외상(상처)후의 종창(부기)ㆍ동통(통증)의 진통ㆍ소염(항염)에 사용합니다.,1일 2회/ 환부(질환 부위)에 부착합니다.,이 약에 과민증 환자/ 아스피린?또는 비스테로이드성 소염진통제?등에 의한 과민증(천식/ 기관지경련의 병력/ 비염?및 혈관부기) 경험자/ 14세 미만의 소아는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 기관지 천식 환자/?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/ 소아/ 프로필렌글리콜에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.병변이 있는 피부(출혈성 피부질환/ 습진/ 감염된 병변/ 화상/ 상처)/ 눈 및 점막에는 사용하지 마십시오.외용으로만 사용하십시오.밀봉붕대법으로 사용하지 마십시오.,실온에서 보관하십시오.,
200808028,단자민정(디펜히드라민염산염),고려제약(주),이 약은 일시적 불면증의 완화에 사용합니다.,성인은 1일 1회 2정(50 mg)을 취침전 복용합니다.개인에 따라 2정(50 mg) 복용시 과도한 진정작용이 나타날 경우 1정(25 mg)을 취침전 복용합니다.,이 약에 과민증 환자/ 15세 미만의 소아/ 수유부/?천식발작/ 폐기종/ 만성기관지염에 의한 호흡곤란 환자/ 녹내장/ 전립선 비대/ 협착성 소화성 궤양/ 유문십이지장 폐색/ 간질/ 크롬친화성세포종/?일상적으로 불면이거나 불면증 진단을 받은 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?중증 근무력증 환자/ 고령자/ 알레르기 체질인 환자/?임부 및 임신을 하고있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오.복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.정해진 용법과 용량을 잘 지키십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201902794,담엔싹정,제일헬스사이언스(주),이 약은 신경통/ 근육통/ 관절통/ 요(허리)통/ 염좌통(삔 통증)/ 견통(어깨결림)/ 근경련(근육경련)/ 근경직등 근육의 이상 긴장을 수반하는 여러 질환에 사용합니다.,성인은 1회 2정 1일 4회까지 공복을?피하여 복용합니다.연령/증상에 따라 적절히 증감합니다.,다른 아세트아미노펜 제품과 함께 복용하여 일일 최대용량(4/000 mg)을 초과할 경우 간손상을 일으킬 수 있으므로 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.이 약에 과민증 환자/ 클로르족사존에 과민증/ 아세트아미노펜에 과민증/ 과민증상(발진/ 충혈되어 붉어짐/ 가려움/ 후두/ 눈꺼풀/ 입술의 부기) 경험자 및?다른 감기약/ 해열진통제?사용 시 천식 경험자는?이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성은?의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199700873,대우로라타딘정(수출명:로미딘정/라틴정/필미딘정),대우제약(주),이 약은 알레르기성 비염(재채기/ 코막힘/ 가려움/ 눈의 작열감)/ 만성 특발성(원인 불명의) 두드러기에 사용합니다.,성인 및 12세 이상의 소아는 1일 1회 1정(10 mg) 복용합니다.6~12세 미만의 소아는 체중이 30 kg이상인 경우 1일 1회 1정(10 mg)/ 30 kg이하인 경우 1일 1회 1/2정(5 mg) 복용합니다.연령/ 증상에 따라 적절히 증감합니다.,이 약에 과민증 환자/?만 6세 미만의 소아/?임부 및 수유부/갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?간장애/ 신부전 환자는 의사 또는 약사와 상의하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201803126,대웅바이오아스피린장용정100밀리그램,대웅바이오(주),이 약은 심근경색/ 뇌경색/ 불안정형 협심증에서 혈전 생성 억제와?관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력/ 고혈압/ 고콜레스테롤혈증/ 비만/ 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.,성인은 1회 1정/ 1일 1회 복용합니다.이 약은 장용정이므로 충분한 물과 함께 식전에 복용할 수 있습니다.,이 약 또는 다른 살리실산제제/ 진통제/ 소염제/ 항류마티스제에 대한 과민증 환자/?소화성궤양/?아스피린천식 또는 경험자/?혈우병/ 심한 간장애/ 심한 신장애/ 심한 심기능부전/ 출혈경향/ 일주일 동안 메토트렉세이트 15밀리그람(15 mg/주) 이상의 용량을 병용 투여하는 환자/?임신 3기에 해당하는 임부는 복용하지 마십시오.?임신 1기와 2기에는 반드시 필요한 경우가 아니라면?이 약을 복용하지 마십시오.이 약을 사용하기 전에 신장애/?심혈관 순환기능이상(신혈관 질환/ 울혈성 심부전/ 체액감소/ 큰 수술/ 패혈증 또는 주요 출혈사고 등)/ 간장애/ 심기능 이상/ 기관지천식/?수술전의 환자/?3세 이하의 유아/ 고령자/?포도당-6-인산염 탈수소효소(G6PD)결핍 환자/ 레이증후군/ 14세 이하의 수두 또는 인플루엔자 감염 환자/?통풍 환자는?의사 또는 약사와 상의하십시오.출혈의 위험이 있으므로 수술(치과수술 포함)을 하는 경우에는 의사에게 이 약을 복용하고 있음을 알리십시오.이 약의 장용피막을 파손하지 않도록 유의하십시오.,습기를 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200610975,대웅알벤다졸정(수출명: Medalben Tab/ Daezole),(주)대웅제약,이 약은 회충/ 요충/ 십이지장충/ 편충/ 아메리카 구충/ 분선충의 감염 및 이들 혼합감염의 치료에 사용합니다.,성인 및 24개월 이상의 소아는 요충에 1일 1회 1정(400 mg)을 복용합니다. 박멸을 위하여 7일 뒤/ 한번만 더 1정(400 mg)을 복용합니다.회충/ 십이지장충/ 편충/ 아메리카구충에 1회 1정(400 mg)을 단회 복용합니다.분선충의 다른 기생충(조충)과 중증 혼합 감염시에 1일 1회 1정(400 mg) 씩 3일간 복용합니다.삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다.치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다.,이 약에 과민증 환자/?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/?2세 미만의 소아/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?간장애/ 신장애(신장장애)/ 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.이 약 복용 전에는 반드시 임신 중이 아님을 확인하십시오.임상검사치에의 영향 즉 때때로 회복 가능한 백혈구 수의 감소/ 경증 내지 중등도의 간효소치가 증가할 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
197000040,대웅우루사연질캡슐,(주)대웅제약,이 약은 만성 간질환의 간기능 개선과 간기능 장애에 의한 육체피로/ 전신권태 증상의 개선에 사용합니다.,성인은 1회 1캡슐 1일 3회 복용합니다.,이 약에 과민증 환자/?심한 담도폐쇄/ 전격성간염/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/ 소아/ 크론병과 같은 대장 및 소장염/ 방사선 비투과성 석회화된 담석/ 비기능성 담낭(쓸개)/ 급성담낭(쓸개)염/ 신질환/ 소화성궤양(급성 위ㆍ십이지장 궤양) 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?심한 췌장(이자)질환/ 담석증 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,어린이의 손이 닿지 않는 곳에 보관하십시오.,
