"기관ID","주소","비고","간이약도","기관명","대표전화1","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업일시"
"C1102097","서울특별시 영등포구 여의대방로 383","한약국","경도빌딩 1층","경도약국","02-780-5004","1900","2000","1900","2000","1900","1400","2500","2200","0900","0900","0900","0900","0900","0900","2200","1000","073","33","126.93151972892281","37.51934743724247","2021-08-20 17:21:45.0"
"C1103191","서울특별시 동대문구 고산자로 476 1층 (제기동 서울제기동우체국)","한약국","제기4거리에서고대쪽으로약500m제기우체국옆","경동시장약국","02-964-4674","1900","1900","1900","1900","1900","1500","2500","2200","0900","0900","0900","0900","0900","0900","2200","1000","025","71","127.03890029178254","37.58219068967217","2021-08-20 17:21:45.0"
"C1102085","서울특별시 영등포구 선유서로25길 5-1 (양평동2가)","한약국","제기4거리에서고대쪽으로약500m제기우체국옆","경명약국","02-2634-1046","1930","1930","1930","1930","1930","1930","2500","2200","0700","0700","0700","0700","0700","0700","2200","1000","072","75","126.88516318183736","37.52436387179259","2021-08-20 17:21:45.0"
"C1103661","서울특별시 양천구 신월로10길 16 (신월동 삼성아파트)","한약국","제기4거리에서고대쪽으로약500m제기우체국옆","경민약국","02-2603-2133","2100","2100","2100","2100","2100","1930","2500","2200","0900","0900","0900","0900","0900","0700","2200","1000","080","65","126.8406999924","37.5158536678","2021-08-20 17:21:45.0"
"C1102668","서울특별시 관악구 남부순환로161길 70 (신림동)","한약국","신림4동동사무소옆","경성약국","02-855-3927","2030","2030","2030","2030","2030","1500","2500","2200","0900","0900","0900","0900","0900","0900","2200","1000","087","63","126.91873158624227","37.48534939167428","2021-08-20 17:21:45.0"
"C1108168","서울특별시 동대문구 약령서1길 30-2 1층 (제기동)","한약국","신림4동동사무소옆","경신당약국","02-964-6044","1730","1730","1730","1730","1730","1500","2500","2200","0930","0930","0930","0930","0930","0900","2200","1000","025","69","127.0365125686","37.5798254465","2021-08-20 17:21:45.0"
"C1103019","서울특별시 동대문구 사가정로25길 18 (장안동)","한약국","신림4동동사무소옆","경애약국","02-2212-8941","2100","2100","2100","2100","2100","2100","2500","2200","0900","0900","0900","0900","0900","0900","2200","1000","025","15","127.07052927654811","37.57959909552275","2021-08-20 17:21:45.0"
"C1108158","서울특별시 강남구 삼성로145길 13 1층 102호 (청담동)","한약국","신림4동동사무소옆","경옥채한약국","02-3013-1075","1900","1900","1900","1900","1900","1600","2500","2200","1100","1100","1100","1100","1100","1100","2200","1000","060","63","127.0470050292","37.5223776915","2021-08-20 17:21:45.0"
"C1103320","서울특별시 동대문구 고산자로36길 3 (제기동)","한약국","경동시장신관118호","경원약국","02-967-6217","1900","1900","1900","1900","1900","1600","2500","2200","0700","0700","0700","0700","0700","0700","2200","1000","025","71","127.03914316284975","37.57903893677893","2021-08-20 17:21:45.0"
"C1102088","서울특별시 용산구 새창로14길 50 (용문동)","한약국","용문시장끝새마을금고바로옆","경인약국","02-715-6083","2200","2200","2200","2200","2200","2100","2500","2200","0800","0800","0800","0800","0800","0900","2200","1000","043","56","126.95937832980435","37.53737542194013","2021-08-20 17:21:45.0"
"C1103317","서울특별시 송파구 가락로42길 9 경인약국 (방이동)","한약국","용문시장끝새마을금고바로옆","경인약국","02-412-7891","2100","2100","2100","2100","2100","2100","2500","2200","0900","0900","0900","0900","0900","0900","2200","1000","056","36","127.1208312802286","37.51234932568655","2021-08-20 17:21:45.0"
"C1103006","서울특별시 종로구 평창문화로 35  (평창동)","한약국","용문시장끝새마을금고바로옆","경일약국","02-391-3469","2130","2130","2130","2130","2130","2100","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","030","08","126.9653051907","37.6050717889","2021-08-20 17:21:45.0"
"C1101887","서울특별시 금천구 시흥대로72길 32 (시흥동)","한약국","서울특별시금천구시흥동869-48","경일약국","02-802-9104","2100","2100","2100","2100","2100","2100","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","086","24","126.9002993670544","37.4580959298359","2021-08-20 17:21:45.0"
"C1107990","서울특별시 양천구 월정로 53 (신월동)","한약국","서울특별시금천구시흥동869-48","경창약국","02-2607-2727","2200","2200","2200","2200","2200","2200","2200","2100","0900","0900","0900","0900","0900","0900","1400","0900","079","30","126.8415279236","37.5244395299","2021-08-20 17:21:45.0"
"C1101889","서울특별시 은평구 서오릉로 157 (구산동)","한약국","예일여고사거리서오릉방면2m현대자동차맞은편","경하프라자약국","02-385-7271","2200","2200","2200","2200","2200","2100","2200","2100","0900","0900","0900","0900","0900","0900","1400","0900","034","12","126.9156175214671","37.61199875549201","2021-08-20 17:21:45.0"
"C1101891","서울특별시 노원구 화랑로 337","한약국","인현빌딩","경화당약국","02-919-7167","2000","2000","2000","2000","2000","1600","2200","2100","0830","0830","0830","0830","0830","0830","1400","0900","018","95","127.06522969240682","37.6151404785545","2021-08-20 17:21:45.0"
"C1107730","서울특별시 동대문구 경희대로 17 1층 (회기동)","한약국","경희대병원입구 인근","경희고황약국","02-6013-1665","2030","2030","2030","2030","2030","1900","1900","1900","0830","0830","0830","0830","0830","0830","1000","1000","024","54","127.05244833860001","37.5931577391","2021-08-20 17:21:45.0"
"C1107791","서울특별시 종로구 송월길 99 203동 2218호 (홍파동 경희궁자이 2단지)","한약국","경희대병원입구 인근","경희궁햇살약국","02-733-3342","2030","1900","1900","2030","1900","1400","1900","1400","0900","0900","0900","0900","0900","0900","1000","0900","031","65","126.96307167146341","37.570087766957144","2021-08-20 17:21:45.0"
"C1103746","서울특별시 동대문구 경희대로 19 (회기동)","한약국","경희대병원입구 인근","경희동문약국","02-960-0557","2000","2000","2000","2000","2000","1300","1900","1400","0900","0900","0900","0900","0900","0900","1000","0900","024","54","127.05257535234334","37.593406353382676","2021-08-20 17:21:45.0"
"C1103369","서울특별시 동대문구 경희대로 24 1층 (회기동)","한약국","경희의료원정문맞은편","경희메디칼약국","02-966-5830","1800","1800","2000","1800","1800","1300","1900","1400","0830","0830","0830","0830","0830","0900","1000","0900","024","53","127.052711111111108","37.593622222222223","2021-08-20 17:21:45.0"
"C1108145","서울특별시 강동구 동남로 889 103호 (명일동)","한약국","경희의료원정문맞은편","경희메디칼온누리약국","02-427-5757","1900","1900","1900","1900","1900","1400","1900","1400","0900","0900","0900","0900","0900","0900","1000","0900","052","69","127.15594785345384","37.55305502467097","2021-08-20 17:21:45.0"
"C1107725","서울특별시 강동구 동남로 881 103호 (명일동 서희스타힐스)","한약국","강동경희대병원 부근","경희수약국","02-441-7001","1900","1900","1900","1900","1800","1300","1900","1400","0900","0900","0900","0900","0900","0900","1000","0900","052","69","127.1557742458","37.5522912082","2021-08-20 17:21:45.0"
"C1103747","서울특별시 동대문구 경희대로1가길 32 (회기동)","한약국","경희의료원주차장(정보행정동)앞","경희온누리약국","02-3295-0055","1830","1830","1830","1830","1830","1300","1900","1400","0830","0830","0830","0830","0830","0900","1000","0900","024","54","127.05172811675882","37.593017499266224","2021-08-20 17:21:45.0"
"C1102964","서울특별시 동대문구 경희대로 21 지층 1층 2층 (회기동)","한약국","경희의료원앞","경희우리약국","02-963-8114","1830","1830","1830","1830","1800","1300","1900","1400","0830","0830","0830","0830","0830","0830","1000","0900","024","54","127.052404885614","37.5935198670281","2021-08-20 17:21:45.0"
"C1108139","서울특별시 강동구 동남로 889 101호 (명일동)","한약국","경희의료원앞","경희일번약국","02-441-2011","1830","1830","1830","1830","1830","1300","1900","1400","0900","0900","0900","0900","0900","0900","1000","0900","052","69","127.1559478535","37.5530550247","2021-08-20 17:21:45.0"
"C1109188","서울특별시 강동구 풍성로65길 77 1층 (둔촌동)","한약국","경희의료원앞","경희자연애한약국","02-489-6681","2000","2000","2000","2000","2000","1300","1900","1400","1000","1000","1000","1000","1000","0900","1000","0900","053","64","127.141652430155","37.5309538753614","2021-08-20 17:21:45.0"
"C1108192","서울특별시 동대문구 망우로 35 상가동 B103 B104(일부)호 (휘경동 휘경 제이스카이 아파트)","한약국","경희의료원앞","경희자연한약국","02-2203-7511","1830","1830","1830","1830","1830","1330","1900","1400","0930","0930","0930","0930","0930","0930","1000","0900","024","39","127.057535774974","37.5890306271477","2021-08-20 17:21:45.0"
"C1108632","서울특별시 강남구 논현로95길 29-13 2층 (역삼동)","한약국","경희의료원앞","경희자연한약국","02-412-0705","1830","1830","1830","1830","1830","1330","1900","1400","0930","0930","0930","0930","0930","0930","1000","0900","061","31","127.034186353468","37.5010799233411","2021-08-20 17:21:45.0"
"C1101894","서울특별시 강동구 동남로 885 (명일동)","한약국","경희의료원앞","경희정문약국","02-442-0805","2030","2030","2030","2030","2030","1400","1900","1400","0900","0900","0900","0900","0900","0900","1000","0900","052","69","127.15597807804733","37.55265436590693","2021-08-20 17:21:45.0"
"C1107533","서울특별시 동대문구 경희대로 19-5 (회기동)","한약국","경희의료원앞","경희제일약국","02-6403-1082","1900","1900","1900","1900","1900","1400","1900","1400","0830","0830","0830","0830","0830","0830","1000","0900","024","54","127.0522219533885","37.59326595854018","2021-08-20 17:21:45.0"
"C1101984","서울특별시 동대문구 경희대로 19-9 (회기동)","한약국","경희의료원응급실앞","경희중앙약국","02-968-4445","1830","1830","1830","1830","1830","1330","1900","1400","0800","0800","0800","0800","0800","0800","1000","0900","024","54","127.05204527355943","37.59320837310512","2021-08-20 17:21:45.0"
"C1101985","서울특별시 강동구 구천면로 245","한약국","천호동성당맞은편","경희프라자약국","02-472-8244","2030","2030","2030","2030","2030","2030","1900","1800","0850","0850","0850","0850","0850","0850","1000","0850","053","26","127.13091376708743","37.54227624319247","2021-08-20 17:21:45.0"
"C1103002","서울특별시 동작구 성대로 32 (상도동 계령약국)","한약국","천호동성당맞은편","계령약국","02-822-8105","2000","2000","2000","2000","2000","2000","1900","1800","0930","0930","0930","0930","0930","0930","1000","0850","070","42","126.93302455205469","37.49916539206001","2021-08-20 17:21:45.0"
"C1104793","서울특별시 성북구 동소문로20길 43 (동선동1가)","한약국","성북경찰서후문4거리성싱여대전철역2번출구100미터","계산온누리약국","02-925-4551","2200","2200","2200","2200","2200","2200","2200","2200","1000","1000","1000","1000","1000","1000","1500","1500","028","45","127.0170247824615","37.59066700715044","2021-08-20 17:21:45.0"
"C1103496","서울특별시 강동구 고덕로 256 101호 (명일동명성프라자)","한약국","고덕역4번 출구 앞","고덕경희온누리약국","02-429-5885","1900","1900","1900","1900","1900","1400","2200","2200","0900","0900","0900","0900","0900","0900","1500","1500","052","69","127.15407247006448","37.55462522155706","2021-08-20 17:21:45.0"
"C1107327","서울특별시 강동구 고덕로 353 고덕그라시움아파트(상가1동) 208호 (고덕동)","한약국","고덕역4번 출구 앞","고덕약국","02-427-9904","1830","1830","1830","1830","1830","1300","2200","2200","0900","0900","0900","0900","0900","0900","1500","1500","052","24","127.16468469235708","37.55723459898463","2021-08-20 17:21:45.0"
"C1104648","서울특별시 중랑구 상봉로 49 (면목동)","한약국","고덕역4번 출구 앞","고려약국","02-433-6447","2100","2100","2100","2100","2100","1700","2200","2200","0900","0900","0900","0900","0900","0900","1500","1500","021","62","127.093288888888893","37.590236111111111","2021-08-20 17:21:45.0"
"C1101926","서울특별시 강북구 삼양로 337 (수유동)","한약국","화계사입구사거리에서길음역쪽으로10m거리","고려약국","02-980-6875","2000","2000","2000","2000","2000","1600","1400","2200","0900","0900","0900","0900","0900","0900","0900","1500","010","98","127.01740046226524","37.63362669100785","2021-08-20 17:21:45.0"
"C1102966","서울특별시 강동구 천호대로 1125 (길동)","한약국","길동4거리에서천호동방면으로70m대로변","고려약국","02-477-5257","2100","2100","2100","2100","2100","2000","1400","2200","0800","0800","0800","0800","0800","0802","0900","1500","053","55","127.13677772900347","37.53491915811732","2021-08-20 17:21:45.0"
"C1101928","서울특별시 서초구 바우뫼로 23 101호 (우면동선일상가)","한약국","선일상가101호","고명약국","02-2057-3448","2000","2000","2000","2000","2000","1600","1400","2200","0910","0910","0910","0910","0910","0910","0900","1500","067","62","127.02522714410759","37.470396259112604","2021-08-20 17:21:45.0"
"C1101929","서울특별시 도봉구 도봉로 724","한약국","방학역1번출구앞","고명약국","02-3493-0343","1900","1900","1900","1900","1900","1500","1400","2200","0900","0900","0900","0900","0900","0900","0900","1500","013","33","127.04383998295758","37.66903211389184","2021-08-20 17:21:45.0"
"C1102978","서울특별시 송파구 마천로41길 21 (마천동)","한약국","송파구마천시장입구","고바우약국","02-402-0730","2100","2100","2100","2100","2100","2100","2000","2200","0900","0900","0900","0900","0900","0900","1000","1500","057","51","127.15003703088078","37.497135712726255","2021-08-20 17:21:45.0"
"C1104792","서울특별시 금천구 금하로24길 57","한약국","송파구마천시장입구","고성희약국","02-808-3616","2200","2200","2200","2200","2200","2200","2000","2200","0900","0900","0900","0900","0900","0900","1000","0900","086","47","126.90882642762285","37.44848360994974","2021-08-20 17:21:45.0"
"C1108687","서울특별시 서초구 신반포로 194 서울고속버스터미널 본관동1층 쇼케이스1호 (반포동)","한약국","송파구마천시장입구","고속터미널약국","02-595-2260","2200","2200","2200","2200","2200","2200","2200","2200","0900","0900","0900","0900","0900","0900","0900","0900","065","45","127.006834366246","37.5064357442307","2021-08-20 17:21:45.0"
"C1107477","서울특별시 서초구 신반포로 지하 188 지하1층 (반포동 강남고속터미널역)","한약국","송파구마천시장입구","고연뿌리약국","02-534-7500","2200","2200","2200","2200","2200","2200","2200","2200","0900","0900","0900","0900","0900","0900","0900","0900","065","45","127.0044424357","37.5046479936","2021-08-20 17:21:45.0"
"C1103347","서울특별시 강서구 양천로 500 등촌동노블리움오피스텔 115호 (등촌동)","한약국","지하철9호선가양역6번출구바로앞","고운마음약국","02-3663-7779","2100","2100","2100","2100","2100","2000","2200","2200","1000","1000","1000","1000","1000","1000","0900","0900","075","48","126.8556912558963","37.56056161225057","2021-08-20 17:21:45.0"
"C1108250","서울특별시 송파구 송이로32길 37 201동 1층 04호 (문정동 문정푸르지오아파트)","신규기관 전화연결안됨","지하철9호선가양역6번출구바로앞","고운약국","02-400-8786","2100","2100","2100","2100","2100","1300","1800","1800","0900","0900","0900","0900","0900","0900","0900","0900","057","97","127.1272082747","37.487002755","2021-08-20 17:21:45.0"
"C1101981","서울특별시 금천구 시흥대로153길 68 (가산동)","신규기관 전화연결안됨","서울반도체앞","고원약국","02-856-7123","2200","2200","2200","2200","2200","2200","2100","2100","0900","0900","0900","0900","0900","0900","1000","1000","085","29","126.8947189254389","37.47685374534552","2021-08-20 17:21:45.0"
"C1101878","서울특별시 영등포구 영신로 259","신규기관 전화연결안됨","호산빌딩 1층","고은약국","02-2678-8084","1800","1800","1800","1800","1800","1300","2100","2100","0900","0900","0900","0900","0900","0900","1000","1000","072","14","126.90435690791395","37.53055461098571","2021-08-20 17:21:45.0"
"C1108701","서울특별시 관악구 신림로 339 1층 (신림동)","신규기관 전화연결안됨","호산빌딩 1층","고은약국","02-888-7888","2030","2030","2030","2030","2030","1600","2100","2100","0930","0930","0930","0930","0930","0930","1000","1000","087","59","126.929278703389","37.4845586933158","2021-08-20 17:21:45.0"
"C1101879","서울특별시 동작구 사당로23길 185 (사당동)","신규기관 전화연결안됨","서울동작구사당3동175-24","고은약국","02-532-5384","2000","2000","2000","2000","2000","1500","2100","2100","0900","0900","0900","0900","0900","0900","1000","1000","069","89","126.9706773662271","37.49041934044558","2021-08-20 17:21:45.0"
"C1108175","서울특별시 강남구 봉은사로 105 2층 (논현동)","신규기관 전화연결안됨","서울동작구사당3동175-24","고은약국","02-547-9975","2000","2000","2000","2000","2000","1500","2100","2100","1000","1000","1000","1000","1000","1000","1000","1000","061","20","127.0250261299","37.5049697881","2021-08-20 17:21:45.0"
"C1104427","서울특별시 은평구 은평로 8 (신사동)","신규기관 전화연결안됨","신사동고개신사동성당맞은편","고은약국","02-303-7311","1830","1830","1830","1830","1830","1530","2100","2100","0900","0900","0900","0900","0900","0900","1000","1000","034","50","126.9097419685","37.5967352435","2021-08-20 17:21:45.0"
"C1101880","서울특별시 강동구 천호대로 1153 1층 (길동)","신규기관 전화연결안됨","신사동고개신사동성당맞은편","고은온누리약국","02-477-9403","2000","2000","2000","2000","2000","1800","2100","1500","0830","0830","0830","0830","0830","0830","1000","1000","053","56","127.1396477188","37.5340823741","2021-08-20 17:21:45.0"
"C1104558","서울특별시 동작구 여의대방로36길 1 (대방동)","신규기관 전화연결안됨","대방동해군회관사거리성남중고방면","고은온누리약국","02-826-8347","2100","2100","2100","2100","2100","1800","2100","1500","0900","0900","0900","0900","0900","0900","1000","1000","069","45","126.92236638161606","37.50425494985387","2021-08-20 17:21:45.0"
"C1101916","서울특별시 은평구 증산로3길 8","신규기관 전화연결안됨","대방동해군회관사거리성남중고방면","고일약국","02-303-9715","2015","2015","2015","2015","2015","1600","2100","1500","0900","0900","0900","0900","0900","0900","1000","1000","035","00","126.90553120290001","37.5811303673","2021-08-20 17:21:45.0"
"C1103267","서울특별시 강북구 도봉로 167","2013.11 폐업 후 개업","미아역5번출구에서직진국민은행건물","고전약국","02-988-7851","1800","1800","1800","1800","1800","1600","2100","1500","0900","0900","0900","0900","0900","0900","1000","1000","011","71","127.02683647301606","37.62364219569157","2021-08-20 17:21:45.0"
"C1102965","서울특별시 강남구 선릉로86길 31","2013.11 폐업 후 개업","선릉역 1번출구 롯데골드로즈 2 318호 일부","골드로즈약국","02-567-3609","1700","1700","1700","1700","1700","1600","2100","1500","0900","0900","0900","0900","0900","0900","1000","1000","061","93","127.05209767762372","37.50415212307509","2021-08-20 17:21:45.0"
"C1103495","서울특별시 동작구 동작대로 89 504호 (사당동 골든시네마타워)","2013.11 폐업 후 개업","골드시네마타워 504호","골드약국","02-588-8013","1900","1900","1900","1900","1900","1600","2100","1500","0900","0900","0900","0900","0900","0900","1000","1000","070","13","126.98168086124542","37.48463842405265","2021-08-20 17:21:45.0"
"C1101976","서울특별시 강서구 곰달래로 226 (화곡동)","2013.11 폐업 후 개업","골드시네마타워 504호","곰달래약국","02-2642-4196","2000","2000","2000","2000","2000","1700","1900","1500","0900","0900","0900","0900","0900","0900","0900","1000","077","84","126.858005555555550","37.531572222222223","2021-08-20 17:21:45.0"
"C1108731","서울특별시 서초구 방배로 226 3층 303호 (방배동)","2013.11 폐업 후 개업","골드시네마타워 504호","곰돌이스타약국","02-595-8795","2300","2300","2300","2300","2300","1900","1900","1900","0900","0900","0900","0900","0900","0900","0900","0900","065","84","126.99044929507","37.4933691648347","2021-08-20 17:21:45.0"
"C1107947","서울특별시 은평구 연서로 73 (역촌동)","2013.11 폐업 후 개업","골드시네마타워 504호","곰약국","02-355-8322","1930","1930","1930","1930","1930","1530","1900","1900","0900","0900","0900","0900","0900","0900","0900","0900","034","17","126.9150675131","37.6056445849","2021-08-20 17:21:45.0"
"C1107951","서울특별시 용산구 한강대로 100 아모레퍼시픽 지하1층 B106-2호 (한강로2가)","2013.11 폐업 후 개업","골드시네마타워 504호","공감365온누리약국","02-111-1234","1000","1930","1930","1930","1930","1530","1900","1900","0900","0900","0900","0900","0900","0900","0900","0900","043","86","126.9686757151","37.5287908187","2021-08-20 17:21:45.0"
"C1108518","서울특별시 마포구 새창로 11 1층 (도화동)","2013.11 폐업 후 개업","골드시네마타워 504호","공덕오거리약국","02-711-8411","2100","2100","2100","2100","2100","1600","1600","1600","0900","0900","0900","0900","0900","0900","0900","0900","041","68","126.95132578928957","37.54246933954342","2021-08-20 17:21:45.0"
"C1103541","서울특별시 종로구 종로 228 1층 (종로5가)","2013.11 폐업 후 개업","종로5가전철역5번출구전방50m","공생약국","02-2277-1366","2000","2000","2000","2000","2000","2000","1900","1600","0900","0900","0900","0900","0900","0900","1000","0900","031","96","127.0030744152","37.5707021758","2021-08-20 17:21:45.0"
"C1101980","서울특별시 영등포구 신길로 252 (영등포동)","2013.11 폐업 후 개업","영등포동영등포공원앞","공원온누리약국","02-836-2086","2000","2000","2000","2000","2000","1400","1900","1600","0900","0900","0900","0900","0900","0900","1000","0900","073","12","126.91176898165946","37.51412251894385","2021-08-20 17:21:45.0"
"C1102026","서울특별시 성동구 성덕정길 105 (성수동2가)","2013.11 폐업 후 개업","영등포동영등포공원앞","공중약국","02-3409-2755","2000","2000","2000","2000","2000","1500","1900","1600","0900","0900","0900","0900","0900","0900","1000","0900","047","76","127.05511125209563","37.53745694599712","2021-08-20 17:21:45.0"
"C1107244","서울특별시 강서구 공항대로 38 1층 (공항동)","2013.11 폐업 후 개업","영등포동영등포공원앞","공항메디칼약국","02-3664-5157","1900","1900","1900","1900","1900","1400","1900","1600","0830","0830","0830","0830","0830","0830","1000","0900","076","23","126.81157064056627","37.56097246276964","2021-08-20 17:21:45.0"
"C1102028","서울특별시 강서구 방화동로 37 메디스타워 102호 (방화동)","2013.11 폐업 후 개업","공항시장역 2번 출구 메디스타워1층","공항시장샘온누리약국","02-2064-2204","2000","2000","2000","2000","2000","1700","1900","1600","0800","0800","0800","0800","0800","0800","1000","0900","076","20","126.81068422990002","37.56418219190001","2021-08-20 17:21:45.0"
"C1103494","서울특별시 강서구 방화동로 10-2","2013.11 폐업 후 개업","공항시장역 2번 출구 메디스타워1층","공항약국","02-2661-4889","1900","1900","1900","1900","1900","1600","1900","1600","0900","0900","0900","0900","0900","0900","1000","0900","076","19","126.80903869988089","37.56222107076743","2021-08-20 17:21:45.0"
"C1102790","서울특별시 성북구 장위로 177 (장위동)","2013.11 폐업 후 개업","성북구장위동86-5","관문약국","02-915-1241","1800","1800","1800","1800","1800","1500","1900","1600","0900","0900","0900","0900","0900","0900","1000","0900","027","64","127.0552235109439","37.61596593480797","2021-08-20 17:21:45.0"
"C1108709","서울특별시 관악구 신림로 141 1층 (신림동)","2013.11 폐업 후 개업","성북구장위동86-5","관악그랜드약국","02-877-1023","2000","2000","2000","2000","2000","1700","1900","1600","0900","0900","0900","0900","0900","0900","1000","0900","088","46","126.933441547933","37.4715917133189","2021-08-20 17:21:45.0"
"C1103515","서울특별시 관악구 남부순환로 1838 2층 (봉천동)","2013.11 폐업 후 개업","서울대입구역 1번출구 낙성대방향  100M Cs타워 2층","관악소망약국","02-878-4568","2000","1810","2000","2000","1810","1700","1900","1600","0900","0900","0900","0900","0900","0900","1000","0900","087","88","126.95393027968296","37.48043623088484","2021-08-20 17:21:45.0"
"C1104639","서울특별시 관악구 호암로 600","2013.11 폐업 후 개업","신림역3번출구서울대방향10분거리","관악수약국","02-887-3606","2200","2200","2200","2200","2200","2200","2200","2200","0830","0830","0830","0830","0830","0830","0830","0830","088","12","126.93365422716624","37.47064425608796","2021-08-20 17:21:45.0"
"C1103788","서울특별시 관악구 봉천로 488 1층 2호 (봉천동)","2013.11 폐업 후 개업","서호빌딩1층2호","관악온누리약국","02-871-5400","1900","1900","1900","1900","1900","1400","2200","2200","0900","0900","0900","0900","0900","0900","0830","0830","087","38","126.95383351451124","37.48151560188398","2021-08-20 17:21:45.0"
"C1102387","서울특별시 관악구 남부순환로 1630  (신림동)","2013.11 폐업 후 개업","신림사거리양지병원바로옆","관악우리약국","02-886-9878","1900","1900","1900","1900","1900","1500","2200","2200","0830","0830","0830","0830","0830","0830","0830","0830","087","77","126.93180122805651","37.484248309866466","2021-08-20 17:21:45.0"
"C1104179","서울특별시 관악구 봉천로 281 1층(봉천동)","2013.11 폐업 후 개업","보라매동 주민센터앞","관악이화약국","02-885-0456","2130","2130","2130","2130","2130","1930","2200","2200","0930","0930","0930","0930","0930","0930","0830","0830","087","20","126.93248750218348","37.48772590194146","2021-08-20 17:21:45.0"
"C1102189","서울특별시 관악구 관악로 248 1층 (봉천동)","2013.11 폐업 후 개업","강남고려병원에서50M","관악희망약국","02-885-4940","1800","1800","1800","1800","1800","1300","2200","2200","0900","0900","0900","0900","0900","0900","0830","0830","087","35","126.95706550163398","37.486250719481305","2021-08-20 17:21:45.0"
"C1101974","서울특별시 종로구 청계천로 49 (관철동)","2013.11 폐업 후 개업","종로구관철동광교사거리영풍문고건너편","광교약국","02-734-4690","2130","2130","2130","2130","2130","2130","2130","2200","0800","0800","0800","0800","0800","0900","1000","0830","031","89","126.98313410086254","37.56915309682434","2021-08-20 17:21:45.0"
"C1101970","서울특별시 마포구 양화로 191 1층 (동교동)","2013.11 폐업 후 개업","동교동로터리","광명약국","02-324-2985","2100","2100","2100","2100","2100","2130","2130","2200","0830","0830","0830","0830","0830","0900","1000","0830","039","85","126.92576414122017","37.55868841550616","2021-08-20 17:21:45.0"
"C1103766","서울특별시 관악구 은천로 51 은호빌딩 1층 (봉천동)","2013.11 폐업 후 개업","태림빌딩 6층","광선약국","02-585-7804","2000","1900","2000","2000","2000","1530","2130","2200","0900","0900","0900","0900","0900","0900","1000","0830","087","16","126.94119962866276","37.48628534229935","2021-08-20 17:21:45.0"
"C1102948","서울특별시 강남구 강남대로 520  (논현동)","대표번호1 지역번호 추가20170118150453","논현역2번출구에서교보타워방향도보3분","광성약국","02-548-7304","2200","2200","2200","2200","2200","2200","2130","2200","0800","0800","0800","0800","0800","0800","1000","0830","061","14","127.02298378854488","37.50862274236195","2021-08-20 17:21:45.0"
"C1102018","서울특별시 마포구 도화길 32","대표번호1 지역번호 추가20170118150453","삼성프라자상가내101호","광실약국","02-711-3627","2000","2000","2000","2000","2000","1800","2130","2200","0800","0800","0800","0800","0800","0800","1000","0830","041","70","126.94962634267173","37.54081845988182","2021-08-20 17:21:45.0"
"C1102109","서울특별시 관악구 양녕로 38","대표번호1 지역번호 추가20170118150453","현대시장사거리아래30m","광일약국","02-878-9588","1800","1800","1800","1800","1800","1800","2130","2200","0900","0900","0900","0900","0900","0900","1000","0830","087","47","126.94699638406978","37.485312271504576","2021-08-20 17:21:45.0"
"C1104464","서울특별시 관악구 관악로40길 47 현대상가 1동 1층 5호 (봉천동)","대표번호1 지역번호 추가20170118150453","현대시장사거리아래30m","광장약국","070-7744-6763","2000","2000","2000","2000","2000","1500","2130","1300","0900","0900","0900","0900","0900","0900","1000","0900","087","30","126.958925678","37.4920556799","2021-08-20 17:21:45.0"
"C1107644","서울특별시 금천구 금하로 710","대표번호1 지역번호 추가20170118150453","현대시장사거리아래30m","광장온누리약국","02-803-7549","2100","2100","2100","2100","2100","1600","2130","1300","0840","0840","0840","0840","0840","0840","1000","0900","086","44","126.9086878958","37.450883803","2021-08-20 17:21:45.0"
"C1100168","서울특별시 관악구 신림로 107 1층 (신림동)","대표번호1 지역번호 추가20170118150453","신림9동사무소(광장문구)와훼미리마트(자하연식당)옆대로변","광장온누리약국","02-886-3509","2130","2130","2130","2130","2130","2130","2130","1300","0830","0830","0830","0830","0830","0830","0830","0900","088","13","126.9373955664591","37.4705301414731","2021-08-20 17:21:45.0"
"C1102938","서울특별시 광진구 면목로 130 (중곡동)","대표번호1 지역번호 추가20170118150453","중곡역2번출구전방5분거리","광제사약국","02-464-1832","0930","0930","0930","0930","0930","2130","2130","1300","0830","0830","0830","0830","0830","0830","0830","0900","049","10","127.0809199260874","37.56498215007612","2021-08-20 17:21:45.0"
"C1104550","서울특별시 동작구 동작대로 127 1층 (사당동)","대표번호1 지역번호 추가20170118150453","중곡역2번출구전방5분거리","광주약국","02-591-0075","2200","2200","2200","2200","2200","2200","2200","1300","0900","0900","0900","0900","0900","0900","0900","0900","070","08","126.9819447453","37.4879708657","2021-08-20 17:21:45.0"
